SDFB Relationship ID,Person 1 ID,Person 2 ID,Original Confidence,Maximum Confidence,Start Year Type,Start Day,Start Month,Start Year,End Year Type,End Month,End Day,End Year
100160005,10010793,10011035,42,42,AF/IN,,,1649,BF/IN,,,1685
100160003,10010793,10010971,26,26,AF/IN,,,1649,BF/IN,,,1658
100160010,10010793,10011349,45,45,AF/IN,,,1649,BF/IN,,,1685
100160012,10010793,10011557,70,70,AF/IN,,,1649,BF/IN,,,1685
100160013,10010793,10011558,18,18,AF/IN,,,1700,BF/IN,,,1685
100160015,10010793,10011683,65,65,AF/IN,,,1649,BF/IN,,,1685
100160017,10010793,10011735,47,47,AF/IN,,,1667,BF/IN,,,1685
100160018,10010793,10011845,47,47,AF/IN,,,1649,BF/IN,,,1685
100160020,10010793,10012056,53,53,AF/IN,,,1649,BF/IN,,,1685
100160021,10010793,10012145,78,78,AF/IN,,,1649,BF/IN,,,1685
100160023,10010793,10012334,52,52,AF/IN,,,1649,BF/IN,,,1685
100160024,10010793,10012362,18,18,AF/IN,,,1649,BF/IN,,,1685
100160026,10010793,10012460,25,25,AF/IN,,,1649,BF/IN,,,1685
100160029,10010793,10012744,20,20,AF/IN,,,1649,BF/IN,,,1685
100160031,10010793,10013252,42,42,AF/IN,,,1649,BF/IN,,,1685
100160032,10010793,10013276,89,89,AF/IN,,,1649,BF/IN,,,1685
100160034,10010794,10010809,30,30,AF/IN,,,1550,BF/IN,,,1593
100160035,10010794,10010810,33,33,AF/IN,,,1565,BF/IN,,,1593
100160042,10010795,10012118,65,65,AF/IN,,,1484,BF/IN,,,1509
100160043,10010795,10012119,56,56,AF/IN,,,1491,BF/IN,,,1533
100160045,10010796,10011093,22,22,AF/IN,,,1563,BF/IN,,,1616
100160046,10010796,10011094,24,24,AF/IN,,,1595,BF/IN,,,1616
100160048,10010796,10011272,15,15,AF/IN,,,1522,BF/IN,,,1591
100160049,10010796,10011273,30,30,AF/IN,,,1558,BF/IN,,,1616
100160051,10010796,10011440,20,20,AF/IN,,,1593,BF/IN,,,1616
100160053,10010796,10012116,42,42,AF/IN,,,1537,BF/IN,,,1553
100160054,10010796,10012118,25,25,AF/IN,,,1506,BF/IN,,,1509
100160056,10010796,10012307,45,45,AF/IN,,,1560,BF/IN,,,1609
100160057,10010796,10012553,18,18,AF/IN,,,1558,BF/IN,,,1609
100160059,10010796,10013068,19,19,AF/IN,,,1506,BF/IN,,,1574
100160060,10010797,10010801,27,27,AF/IN,,,1539,BF/IN,,,1571
100160062,10010797,10011681,12,12,AF/IN,,,1566,BF/IN,,,1571
100160064,10010797,10012119,16,16,AF/IN,,,1539,BF/IN,,,1547
100160065,10010797,10013068,14,14,AF/IN,,,1539,BF/IN,,,1571
100160067,10010798,10012334,17,17,AF/IN,,,1646,BF/IN,,,1704
100160068,10010798,10012933,73,73,AF/IN,,,1633,BF/IN,,,1701
100160070,10010799,10010805,52,52,AF/IN,,,1638,BF/IN,,,1660
100160009,10010793,10011315,75,75,AF/IN,,,1649,BF/IN,,,1685
100160075,10010799,10013084,66,66,AF/IN,,,1638,BF/IN,,,1695
100160077,10010800,10010811,14,14,AF/IN,,,1613,BF/IN,,,1688
100160078,10010800,10010812,14,14,AF/IN,,,1644,BF/IN,,,1692
100160080,10010801,10010806,21,21,AF/IN,,,1566,BF/IN,,,1599
100160082,10010801,10012492,27,27,AF/IN,,,1532,BF/IN,,,1590
100160083,10010802,10011370,47,47,AF/IN,,,1522,BF/IN,,,1631
100160085,10010802,10012676,47,47,AF/IN,,,1610,BF/IN,,,1631
100160086,10010802,10013034,31,31,AF/IN,,,1609,BF/IN,,,1631
100160088,10010803,10011670,20,20,AF/IN,,,1632,BF/IN,,,1649
100160089,10010803,10011866,49,49,AF/IN,,,1632,BF/IN,,,1673
100160091,10010803,10013034,23,23,AF/IN,,,1632,BF/IN,,,1684
100160094,10010804,10013179,52,52,AF/IN,,,1460,BF/IN,,,1536
100160096,10010805,10011670,76,76,AF/IN,,,1600,BF/IN,,,1649
100160097,10010805,10011671,88,88,AF/IN,,,1630,BF/IN,,,1660
100160099,10010805,10011681,32,32,AF/IN,,,1566,BF/IN,,,1625
100160100,10010805,10011939,33,33,AF/IN,,,1616,BF/IN,,,1660
100160102,10010805,10012255,13,13,AF/IN,,,1586,BF/IN,,,1660
100160103,10010805,10012324,12,12,AF/IN,,,1613,BF/IN,,,1660
100160105,10010805,10012374,44,44,AF/IN,,,1552,BF/IN,,,1660
100160107,10010805,10012634,13,13,AF/IN,,,1578,BF/IN,,,1638
100160108,10010805,10012696,16,16,AF/IN,,,1640,BF/IN,,,1660
100160110,10010805,10012876,24,24,AF/IN,,,1622,BF/IN,,,1660
100160113,10010805,10013052,41,41,AF/IN,,,1613,BF/IN,,,1660
100160114,10010805,10013063,14,14,AF/IN,,,1620,BF/IN,,,1660
100160116,10010806,10012357,28,28,AF/IN,,,1592,BF/IN,,,1628
100160118,10010806,10012605,11,11,AF/IN,,,1566,BF/IN,,,1635
100160119,10010807,10011670,15,15,AF/IN,,,1602,BF/IN,,,1611
100160121,10010808,10010809,14,14,AF/IN,,,1550,BF/IN,,,1552
100160122,10010808,10011134,12,12,AF/IN,,,1490,BF/IN,,,1552
100160124,10010808,10011563,18,18,AF/IN,,,1490,BF/IN,,,1536
100160125,10010808,10011686,13,13,AF/IN,,,1550,BF/IN,,,1552
100160127,10010808,10012120,37,37,AF/IN,,,1490,BF/IN,,,1541
100160129,10010809,10010811,28,28,AF/IN,,,1613,BF/IN,,,1629
100160130,10010809,10010813,19,19,AF/IN,,,1550,BF/IN,,,1629
100160133,10010809,10011303,22,22,AF/IN,,,1632,BF/IN,,,1629
100160135,10010809,10011466,20,20,AF/IN,,,1599,BF/IN,,,1629
100160074,10010799,10012334,18,18,AF/IN,,,1646,BF/IN,,,1695
100160140,10010809,10012166,15,15,AF/IN,,,1550,BF/IN,,,1580
100160142,10010809,10012650,19,19,AF/IN,,,1560,BF/IN,,,1629
100160143,10010809,10012924,16,16,AF/IN,,,1550,BF/IN,,,1595
100160145,10010809,10013061,17,17,AF/IN,,,1550,BF/IN,,,1629
100160147,10010809,10013288,21,21,AF/IN,,,1550,BF/IN,,,1587
100160148,10010810,10010813,19,19,AF/IN,,,1565,BF/IN,,,1611
100160150,10010810,10011134,18,18,AF/IN,,,1565,BF/IN,,,1576
100160151,10010810,10011448,23,23,AF/IN,,,1565,BF/IN,,,1611
100160153,10010810,10011545,34,34,AF/IN,,,1588,BF/IN,,,1611
100160154,10010810,10011555,28,28,AF/IN,,,1565,BF/IN,,,1596
100160156,10010810,10011676,22,22,AF/IN,,,1579,BF/IN,,,1611
100160159,10010810,10012117,11,11,AF/IN,,,1565,BF/IN,,,1603
100160161,10010810,10012166,32,32,AF/IN,,,1565,BF/IN,,,1580
100160162,10010810,10012924,35,35,AF/IN,,,1565,BF/IN,,,1595
100160164,10010810,10013288,26,26,AF/IN,,,1565,BF/IN,,,1587
100160165,10010811,10010876,30,30,AF/IN,,,1617,BF/IN,,,1682
100160167,10010811,10011303,14,14,AF/IN,,,1632,BF/IN,,,1688
100160168,10010811,10011557,16,16,AF/IN,,,1635,BF/IN,,,1688
100160170,10010811,10011670,15,15,AF/IN,,,1613,BF/IN,,,1649
100160172,10010811,10011761,41,41,AF/IN,,,1638,BF/IN,,,1688
100160173,10010811,10011803,12,12,AF/IN,,,1652,BF/IN,,,1688
100160175,10010811,10012218,31,31,AF/IN,,,1613,BF/IN,,,1660
100160178,10010811,10012650,11,11,AF/IN,,,1613,BF/IN,,,1670
100160179,10010811,10012735,12,12,AF/IN,,,1613,BF/IN,,,1674
100160181,10010812,10010824,27,27,AF/IN,,,1652,BF/IN,,,1693
100160183,10010812,10011080,23,23,AF/IN,,,1644,BF/IN,,,1693
100160184,10010812,10011303,14,14,AF/IN,,,1644,BF/IN,,,1693
100160186,10010812,10011557,15,15,AF/IN,,,1644,BF/IN,,,1693
100160187,10010812,10011670,17,17,AF/IN,,,1644,BF/IN,,,1649
100160189,10010812,10012150,24,24,AF/IN,,,1644,BF/IN,,,1689
100160190,10010812,10012218,24,24,AF/IN,,,1644,BF/IN,,,1660
100160192,10010812,10012466,22,22,AF/IN,,,1644,BF/IN,,,1693
100160194,10010812,10012657,15,15,AF/IN,,,1644,BF/IN,,,1693
100160195,10010812,10012735,26,26,AF/IN,,,1644,BF/IN,,,1674
100160198,10010813,10011386,11,11,AF/IN,,,1565,BF/IN,,,1639
100160200,10010813,10011681,19,19,AF/IN,,,1566,BF/IN,,,1625
100160139,10010809,10011676,24,24,AF/IN,,,1579,BF/IN,,,1624
100160205,10010814,10011505,19,19,AF/IN,,,1672,BF/IN,,,1725
100160207,10010814,10012588,20,20,AF/IN,,,1670,BF/IN,,,1722
100160208,10010816,10010817,49,49,AF/IN,,,1650,BF/IN,,,1678
100160210,10010817,10010820,61,61,AF/IN,,,1645,BF/IN,,,1682
100160212,10010817,10011670,28,28,AF/IN,,,1607,BF/IN,,,1649
100160213,10010817,10011671,32,32,AF/IN,,,1630,BF/IN,,,1682
100160215,10010817,10013059,47,47,AF/IN,,,1679,BF/IN,,,1682
100160216,10010819,10010820,75,75,AF/IN,,,1694,BF/IN,,,1737
100160218,10010819,10011891,44,44,AF/IN,,,1700,BF/IN,,,1737
100160219,10010821,10011494,42,42,AF/IN,,,1625,BF/IN,,,1628
100160221,10010822,10011681,84,84,AF/IN,,,1566,BF/IN,,,1572
100160224,10010822,10013255,25,25,AF/IN,,,1532,BF/IN,,,1572
100160226,10010823,10010937,12,12,AF/IN,,,1622,BF/IN,,,1616
100160227,10010823,10011623,24,24,AF/IN,,,1622,BF/IN,,,1621
100160229,10010824,10011284,41,41,AF/IN,,,1652,BF/IN,,,1684
100160230,10010824,10011486,17,17,AF/IN,,,1652,BF/IN,,,1695
100160232,10010824,10012416,86,86,AF/IN,,,1652,BF/IN,,,1695
100160233,10010824,10012724,22,22,AF/IN,,,1652,BF/IN,,,1658
100160235,10010824,10012777,52,52,AF/IN,,,1652,BF/IN,,,1679
100160237,10010824,10013002,18,18,AF/IN,,,1652,BF/IN,,,1695
100160238,10010824,10013084,55,55,AF/IN,,,1652,BF/IN,,,1695
100160240,10010825,10011670,49,49,AF/IN,,,1601,BF/IN,,,1649
100160243,10010825,10012461,12,12,AF/IN,,,1604,BF/IN,,,1660
100160244,10010825,10012784,41,41,AF/IN,,,1601,BF/IN,,,1657
100160246,10010826,10011671,31,31,AF/IN,,,1649,BF/IN,,,1680
100160248,10010827,10011670,45,45,AF/IN,,,1600,BF/IN,,,1630
100160249,10010827,10011681,51,51,AF/IN,,,1584,BF/IN,,,1625
100160251,10010827,10012357,31,31,AF/IN,,,1592,BF/IN,,,1628
100160252,10010827,10012358,21,21,AF/IN,,,1628,BF/IN,,,1630
100160254,10010827,10013084,18,18,AF/IN,,,1632,BF/IN,,,1630
100160255,10010828,10010927,28,28,AF/IN,,,1533,BF/IN,,,1549
100160257,10010828,10011556,12,12,AF/IN,,,1565,BF/IN,,,1592
100160259,10010828,10011576,12,12,AF/IN,,,1560,BF/IN,,,1592
100160260,10010828,10011681,32,32,AF/IN,,,1566,BF/IN,,,1592
100160263,10010829,10011683,55,55,AF/IN,,,1662,BF/IN,,,1701
100160265,10010829,10012478,54,54,AF/IN,,,1678,BF/IN,,,1752
100160204,10010814,10010877,55,55,AF/IN,,,1670,BF/IN,,,1725
100160270,10010832,10010838,82,82,AF/IN,,,1609,BF/IN,,,1651
100160272,10010832,10011932,23,23,AF/IN,,,1609,BF/IN,,,1607
100160273,10010832,10012463,28,28,AF/IN,,,1609,BF/IN,,,1651
100160275,10010833,10010838,67,67,AF/IN,,,1601,BF/IN,,,1619
100160277,10010833,10011670,47,47,AF/IN,,,1600,BF/IN,,,1619
100160278,10010833,10011932,38,38,AF/IN,,,1568,BF/IN,,,1607
100160280,10010834,10010839,40,40,AF/IN,,,1649,BF/IN,,,1668
100160281,10010834,10011525,55,55,AF/IN,,,1624,BF/IN,,,1668
100160283,10010834,10012463,19,19,AF/IN,,,1624,BF/IN,,,1668
100160284,10010834,10012464,12,12,AF/IN,,,1639,BF/IN,,,1668
100160286,10010834,10013125,31,31,AF/IN,,,1624,BF/IN,,,1668
100160289,10010835,10011319,51,51,AF/IN,,,1684,BF/IN,,,1716
100160291,10010835,10011945,21,21,AF/IN,,,1684,BF/IN,,,1714
100160292,10010835,10011946,27,27,AF/IN,,,1684,BF/IN,,,1682
100160294,10010835,10013308,45,45,AF/IN,,,1684,BF/IN,,,1702
100160295,10010837,10010840,49,49,AF/IN,,,1550,BF/IN,,,1603
100160297,10010838,10011525,45,45,AF/IN,,,1601,BF/IN,,,1671
100160298,10010838,10011670,89,89,AF/IN,,,1601,BF/IN,,,1649
100160300,10010838,10011901,43,43,AF/IN,,,1601,BF/IN,,,1671
100160302,10010838,10013140,17,17,AF/IN,,,1601,BF/IN,,,1667
100160303,10010838,10013141,11,11,AF/IN,,,1629,BF/IN,,,1671
100160305,10010839,10011683,24,24,AF/IN,,,1649,BF/IN,,,1697
100160308,10010839,10012286,15,15,AF/IN,,,1649,BF/IN,,,1659
100160309,10010839,10013300,15,15,AF/IN,,,1649,BF/IN,,,1682
100160311,10010840,10010992,56,56,AF/IN,,,1550,BF/IN,,,1558
100160313,10010840,10011438,34,34,AF/IN,,,1550,BF/IN,,,1570
100160314,10010840,10012117,62,62,AF/IN,,,1550,BF/IN,,,1603
100160316,10010841,10011979,60,60,AF/IN,,,1602,BF/IN,,,1652
100160317,10010841,10012749,85,85,AF/IN,,,1583,BF/IN,,,1639
100160319,10010843,10010887,57,57,AF/IN,,,1549,BF/IN,,,1563
100160320,10010843,10010937,57,57,AF/IN,,,1564,BF/IN,,,1563
100160322,10010843,10012780,57,57,AF/IN,,,1549,BF/IN,,,1562
100160324,10010845,10011082,51,51,AF/IN,,,1577,BF/IN,,,1635
100160325,10010845,10011670,11,11,AF/IN,,,1600,BF/IN,,,1649
100160328,10010845,10012506,56,56,AF/IN,,,1600,BF/IN,,,1675
100160330,10010846,10011670,21,21,AF/IN,,,1606,BF/IN,,,1649
100160269,10010832,10010834,48,48,AF/IN,,,1624,BF/IN,,,1651
100160335,10010846,10013184,17,17,AF/IN,,,1632,BF/IN,,,1680
100160337,10010846,10013186,45,45,AF/IN,,,1628,BF/IN,,,1680
100160338,10010847,10012818,34,34,AF/IN,,,1565,BF/IN,,,1608
100160340,10010848,10011683,27,27,AF/IN,,,1636,BF/IN,,,1701
100160342,10010850,10012768,47,47,AF/IN,,,1684,BF/IN,,,1741
100160343,10010851,10010948,63,63,AF/IN,,,1693,BF/IN,,,1758
100160345,10010851,10011457,37,37,AF/IN,,,1693,BF/IN,,,1728
100160346,10010851,10011774,25,25,AF/IN,,,1693,BF/IN,,,1718
