SDFB Relationship ID,Person 1 ID,Person 2 ID,Original Confidence,Maximum Confidence,Start Year Type,Start Day,Start Month,Start Year,End Year Type,End Month,End Day,End Year
100100001,10005062,10013084,11,11,AF/IN,,,1653,BF/IN,,,1682
100100010,10005064,10010002,45,45,AF/IN,,,1684,BF/IN,,,1728
100100019,10005065,10008572,25,25,AF/IN,,,1692,BF/IN,,,1709
100100027,10005065,10011254,12,12,AF/IN,,,1660,BF/IN,,,1709
100100034,10005066,10005734,23,23,AF/IN,,,1678,BF/IN,,,1734
100100043,10005067,10009722,15,15,AF/IN,,,1626,BF/IN,,,1681
100100044,10005067,10010341,48,48,AF/IN,,,1651,BF/IN,,,1685
100100058,10005069,10010240,55,55,AF/IN,,,1689,BF/IN,,,1730
100100078,10005072,10013084,48,48,AF/IN,,,1632,BF/IN,,,1668
100100083,10005074,10006527,36,36,AF/IN,,,1631,BF/IN,,,1683
100100096,10005076,10006657,26,26,AF/IN,,,1696,BF/IN,,,1762
100100101,10005076,10012141,45,45,AF/IN,,,1698,BF/IN,,,1748
100100116,10005078,10012145,24,24,AF/IN,,,1638,BF/IN,,,1700
100100117,10005078,10012672,26,26,AF/IN,,,1671,BF/IN,,,1711
100100118,10005078,10013308,44,44,AF/IN,,,1650,BF/IN,,,1702
100100139,10005082,10012119,49,49,AF/IN,,,1530,BF/IN,,,1547
100100149,10005083,10011953,17,17,AF/IN,,,1584,BF/IN,,,1651
100100156,10005084,10007379,54,54,AF/IN,,,1604,BF/IN,,,1667
100100157,10005084,10007425,22,22,AF/IN,,,1614,BF/IN,,,1665
100100168,10005085,10010599,31,31,AF/IN,,,1674,BF/IN,,,1711
100100177,10005086,10009118,46,46,AF/IN,,,1665,BF/IN,,,1683
100100204,10005089,10009110,27,27,AF/IN,,,1511,BF/IN,,,1543
100100209,10005089,10009903,45,45,AF/IN,,,1511,BF/IN,,,1556
100100215,10005089,10010173,33,33,AF/IN,,,1511,BF/IN,,,1540
100100226,10005089,10012116,64,64,AF/IN,,,1537,BF/IN,,,1553
100100243,10005090,10008600,56,56,AF/IN,,,1694,BF/IN,,,1751
100100249,10005090,10010726,45,45,AF/IN,,,1673,BF/IN,,,1744
100100266,10005091,10007175,18,18,AF/IN,,,1612,BF/IN,,,1645
100100281,10005091,10009549,30,30,AF/IN,,,1633,BF/IN,,,1650
100100283,10005091,10010339,38,38,AF/IN,,,1636,BF/IN,,,1650
100100299,10005092,10006445,16,16,AF/IN,,,1633,BF/IN,,,1669
100100301,10005092,10006867,16,16,AF/IN,,,1633,BF/IN,,,1650
100100302,10005092,10006868,25,25,AF/IN,,,1633,BF/IN,,,1654
100100314,10005092,10009093,14,14,AF/IN,,,1633,BF/IN,,,1669
100100321,10005092,10011683,16,16,AF/IN,,,1633,BF/IN,,,1669
100100336,10005093,10006861,11,11,AF/IN,,,1682,BF/IN,,,1741
100100353,10005093,10011683,57,57,AF/IN,,,1682,BF/IN,,,1701
100100358,10005094,10005727,22,22,AF/IN,,,1548,BF/IN,,,1586
100100376,10005094,10012361,14,14,AF/IN,,,1570,BF/IN,,,1608
100100380,10005095,10006860,20,20,AF/IN,,,1585,BF/IN,,,1626
100100391,10005096,10006924,43,43,AF/IN,,,1648,BF/IN,,,1679
100100408,10005096,10010198,14,14,AF/IN,,,1662,BF/IN,,,1688
100100422,10005097,10005104,36,36,AF/IN,,,1650,BF/IN,,,1695
100100424,10005097,10006241,22,22,AF/IN,,,1648,BF/IN,,,1685
100100431,10005097,10007532,11,11,AF/IN,,,1648,BF/IN,,,1695
100100437,10005097,10008476,11,11,AF/IN,,,1648,BF/IN,,,1685
100100443,10005097,10010309,89,89,AF/IN,,,1648,BF/IN,,,1691
100100459,10005097,10012339,49,49,AF/IN,,,1684,BF/IN,,,1695
100100473,10005098,10011683,36,36,AF/IN,,,1695,BF/IN,,,1701
100100479,10005098,10012339,46,46,AF/IN,,,1695,BF/IN,,,1727
100100486,10005099,10010658,75,75,AF/IN,,,1482,BF/IN,,,1591
100100501,10005102,10011567,16,16,AF/IN,,,1599,BF/IN,,,1659
100100509,10005104,10005913,51,51,AF/IN,,,1650,BF/IN,,,1715
100100511,10005104,10006284,17,17,AF/IN,,,1650,BF/IN,,,1694
100100531,10005105,10011934,41,41,AF/IN,,,1579,BF/IN,,,1628
100100541,10005108,10007816,40,40,AF/IN,,,1674,BF/IN,,,1719
100100548,10005109,10005118,48,48,AF/IN,,,1700,BF/IN,,,1764
100100549,10005109,10005449,22,22,AF/IN,,,1696,BF/IN,,,1712
100100573,10005110,10011239,13,13,AF/IN,,,1548,BF/IN,,,1601
100100589,10005113,10007811,48,48,AF/IN,,,1475,BF/IN,,,1561
100100590,10005113,10010242,56,56,AF/IN,,,1533,BF/IN,,,1566
100100594,10005114,10008640,25,25,AF/IN,,,1533,BF/IN,,,1640
100100602,10005115,10007178,39,39,AF/IN,,,1650,BF/IN,,,1716
100100603,10005115,10011220,13,13,AF/IN,,,1657,BF/IN,,,1716
100100605,10005115,10011666,22,22,AF/IN,,,1665,BF/IN,,,1714
100100621,10005121,10005396,13,13,AF/IN,,,1674,BF/IN,,,1692
100100642,10005123,10005192,52,52,AF/IN,,,1665,BF/IN,,,1701
100100651,10005123,10011683,56,56,AF/IN,,,1665,BF/IN,,,1701
100100658,10005124,10005192,56,56,AF/IN,,,1637,BF/IN,,,1701
100100676,10005124,10011274,39,39,AF/IN,,,1637,BF/IN,,,1703
100100684,10005125,10005550,83,83,AF/IN,,,1666,BF/IN,,,1724
100100699,10005125,10009828,48,48,AF/IN,,,1688,BF/IN,,,1735
100100706,10005125,10012362,47,47,AF/IN,,,1666,BF/IN,,,1685
100100718,10005126,10007211,33,33,AF/IN,,,1660,BF/IN,,,1708
100100721,10005126,10009202,68,68,AF/IN,,,1654,BF/IN,,,1706
100100729,10005126,10012076,16,16,AF/IN,,,1649,BF/IN,,,1695
100100754,10005128,10009759,22,22,AF/IN,,,1620,BF/IN,,,1644
100100756,10005128,10010253,13,13,AF/IN,,,1620,BF/IN,,,1636
100100758,10005128,10010483,12,12,AF/IN,,,1620,BF/IN,,,1659
100100762,10005128,10011415,13,13,AF/IN,,,1620,BF/IN,,,1642
100100786,10005131,10013287,13,13,AF/IN,,,1515,BF/IN,,,1514
100100790,10005132,10007340,37,37,AF/IN,,,1601,BF/IN,,,1663
100100806,10005134,10013253,40,40,AF/IN,,,1696,BF/IN,,,1765
100100812,10005136,10006306,40,40,AF/IN,,,1531,BF/IN,,,1614
100100822,10005138,10007568,32,32,AF/IN,,,1555,BF/IN,,,1584
100100840,10005138,10012827,23,23,AF/IN,,,1530,BF/IN,,,1584
100100853,10005139,10010579,40,40,AF/IN,,,1558,BF/IN,,,1584
100100860,10005139,10011675,27,27,AF/IN,,,1558,BF/IN,,,1583
100100865,10005139,10012827,24,24,AF/IN,,,1558,BF/IN,,,1604
100100871,10005141,10008812,13,13,AF/IN,,,1666,BF/IN,,,1727
100100886,10005143,10008038,18,18,AF/IN,,,1696,BF/IN,,,1726
