SDFB Relationship ID,Person 1 ID,Person 2 ID,Original Confidence,Maximum Confidence,Start Year Type,Start Day,Start Month,Start Year,End Year Type,End Month,End Day,End Year
100042959,10002025,10011683,21,21,AF/IN,,,1633,BF/IN,,,1689
100042961,10002028,10005469,11,11,AF/IN,,,1653,BF/IN,,,1694
100042962,10002029,10003747,52,52,AF/IN,,,1542,BF/IN,,,1565
100042963,10002029,10012116,52,52,AF/IN,,,1542,BF/IN,,,1553
100042965,10002030,10005306,54,54,AF/IN,,,1616,BF/IN,,,1663
100042966,10002031,10002153,14,14,AF/IN,,,1611,BF/IN,,,1643
100042969,10002031,10010938,31,31,AF/IN,,,1589,BF/IN,,,1636
100042970,10002031,10013018,19,19,AF/IN,,,1589,BF/IN,,,1656
100042971,10002032,10003302,51,51,AF/IN,,,1608,BF/IN,,,1672
100042974,10002032,10009204,12,12,AF/IN,,,1608,BF/IN,,,1651
100042975,10002032,10009206,28,28,AF/IN,,,1616,BF/IN,,,1672
100042978,10002032,10012778,51,51,AF/IN,,,1637,BF/IN,,,1672
100042979,10002033,10002167,18,18,AF/IN,,,1620,BF/IN,,,1667
100042982,10002033,10004748,43,43,AF/IN,,,1622,BF/IN,,,1662
100042983,10002033,10005200,56,56,AF/IN,,,1594,BF/IN,,,1633
100042984,10002033,10005387,18,18,AF/IN,,,1613,BF/IN,,,1667
100042986,10002033,10006484,23,23,AF/IN,,,1615,BF/IN,,,1667
100042988,10002033,10007425,55,55,AF/IN,,,1614,BF/IN,,,1665
100042990,10002033,10008966,56,56,AF/IN,,,1595,BF/IN,,,1667
100042991,10002033,10009187,55,55,AF/IN,,,1608,BF/IN,,,1667
100042992,10002033,10010356,13,13,AF/IN,,,1615,BF/IN,,,1667
100042995,10002033,10010404,27,27,AF/IN,,,1627,BF/IN,,,1667
100042996,10002033,10010405,14,14,AF/IN,,,1630,BF/IN,,,1667
100042998,10002033,10010959,39,39,AF/IN,,,1615,BF/IN,,,1667
100042999,10002033,10011670,54,54,AF/IN,,,1600,BF/IN,,,1649
100043002,10002033,10012299,32,32,AF/IN,,,1641,BF/IN,,,1667
100043003,10002034,10002035,53,53,AF/IN,,,1684,BF/IN,,,1722
100043004,10002034,10005996,16,16,AF/IN,,,1684,BF/IN,,,1743
100043006,10002035,10003971,36,36,AF/IN,,,1697,BF/IN,,,1722
100043007,10002035,10003972,30,30,AF/IN,,,1663,BF/IN,,,1722
100043010,10002035,10005996,61,61,AF/IN,,,1676,BF/IN,,,1722
100043011,10002035,10006459,20,20,AF/IN,,,1663,BF/IN,,,1722
100043012,10002035,10007191,21,21,AF/IN,,,1686,BF/IN,,,1722
100043014,10002035,10008434,12,12,AF/IN,,,1663,BF/IN,,,1717
100043016,10002035,10009863,12,12,AF/IN,,,1673,BF/IN,,,1722
100043018,10002035,10011277,28,28,AF/IN,,,1675,BF/IN,,,1722
100043019,10002035,10012413,20,20,AF/IN,,,1663,BF/IN,,,1722
