SDFB Relationship ID,Person 1 ID,Person 2 ID,Original Confidence,Maximum Confidence,Start Year Type,Start Day,Start Month,Start Year,End Year Type,End Month,End Day,End Year
100136333,10007765,10009023,36,36,AF/IN,,,1455,BF/IN,,,1563
100136345,10007765,10011552,38,38,AF/IN,,,1512,BF/IN,,,1542
100136364,10007767,10010467,30,30,AF/IN,,,1656,BF/IN,,,1710
100136366,10007768,10007801,38,38,AF/IN,,,1614,BF/IN,,,1692
100136374,10007769,10009926,49,49,AF/IN,,,1615,BF/IN,,,1655
100136385,10007771,10010023,23,23,AF/IN,,,1603,BF/IN,,,1649
100136389,10007771,10012356,65,65,AF/IN,,,1629,BF/IN,,,1648
100136394,10007771,10012817,27,27,AF/IN,,,1605,BF/IN,,,1649
100136411,10007773,10009050,12,12,AF/IN,,,1612,BF/IN,,,1664
100136420,10007774,10007860,33,33,AF/IN,,,1631,BF/IN,,,1683
100136432,10007775,10009583,56,56,AF/IN,,,1528,BF/IN,,,1590
100136451,10007778,10011414,34,34,AF/IN,,,1598,BF/IN,,,1666
100136453,10007778,10011671,55,55,AF/IN,,,1630,BF/IN,,,1666
100136465,10007780,10011669,18,18,AF/IN,,,1622,BF/IN,,,1645
100136467,10007780,10011671,48,48,AF/IN,,,1630,BF/IN,,,1685
100136480,10007784,10008193,31,31,AF/IN,,,1553,BF/IN,,,1617
100136484,10007784,10008651,14,14,AF/IN,,,1553,BF/IN,,,1655
100136493,10007784,10011554,21,21,AF/IN,,,1553,BF/IN,,,1570
100136500,10007790,10012118,81,81,AF/IN,,,1457,BF/IN,,,1509
100136524,10007795,10012123,16,16,AF/IN,,,1585,BF/IN,,,1602
100136525,10007795,10012827,36,36,AF/IN,,,1585,BF/IN,,,1604
100136545,10007797,10012116,74,74,AF/IN,,,1537,BF/IN,,,1553
100136563,10007798,10010942,73,73,AF/IN,,,1640,BF/IN,,,1666
100136564,10007798,10011557,85,85,AF/IN,,,1640,BF/IN,,,1666
100136584,10007800,10012217,20,20,AF/IN,,,1591,BF/IN,,,1649
100136589,10007801,10007816,44,44,AF/IN,,,1630,BF/IN,,,1692
100136596,10007801,10008852,38,38,AF/IN,,,1610,BF/IN,,,1688
100136608,10007801,10013308,87,87,AF/IN,,,1650,BF/IN,,,1692
100136614,10007803,10007826,33,33,AF/IN,,,1621,BF/IN,,,1707
100136628,10007805,10007966,19,19,AF/IN,,,1609,BF/IN,,,1633
100136630,10007805,10009026,26,26,AF/IN,,,1597,BF/IN,,,1608
100136649,10007807,10008029,19,19,AF/IN,,,1630,BF/IN,,,1714
100136654,10007807,10008371,12,12,AF/IN,,,1630,BF/IN,,,1698
100136660,10007807,10010584,13,13,AF/IN,,,1630,BF/IN,,,1700
100136666,10007807,10011671,70,70,AF/IN,,,1630,BF/IN,,,1685
100136681,10007808,10008449,20,20,AF/IN,,,1636,BF/IN,,,1673
100136684,10007808,10008852,14,14,AF/IN,,,1636,BF/IN,,,1688
100136714,10007809,10011671,25,25,AF/IN,,,1669,BF/IN,,,1685
100136718,10007810,10007856,53,53,AF/IN,,,1697,BF/IN,,,1759
100136719,10007810,10008159,52,52,AF/IN,,,1682,BF/IN,,,1754
100136740,10007813,10009097,26,26,AF/IN,,,1595,BF/IN,,,1611
100136751,10007815,10007816,82,82,AF/IN,,,1661,BF/IN,,,1701
100136758,10007815,10012863,32,32,AF/IN,,,1661,BF/IN,,,1701
100136779,10007818,10012600,14,14,AF/IN,,,1688,BF/IN,,,1744
100136784,10007821,10008266,25,25,AF/IN,,,1639,BF/IN,,,1674
100136786,10007822,10011552,15,15,AF/IN,,,1521,BF/IN,,,1542
100136805,10007825,10007941,47,47,AF/IN,,,1667,BF/IN,,,1723
100136816,10007826,10008802,40,40,AF/IN,,,1619,BF/IN,,,1708
100136823,10007826,10010601,28,28,AF/IN,,,1643,BF/IN,,,1706
100136838,10007826,10011774,30,30,AF/IN,,,1660,BF/IN,,,1718
100136844,10007826,10012742,22,22,AF/IN,,,1664,BF/IN,,,1695
100136849,10007829,10007830,96,96,AF/IN,,,1698,BF/IN,,,1746
100136850,10007829,10008372,49,49,AF/IN,,,1698,BF/IN,,,1746
100136870,10007832,10011128,15,15,AF/IN,,,1586,BF/IN,,,1666
100136877,10007835,10008413,24,24,AF/IN,,,1626,BF/IN,,,1639
100136888,10007840,10011570,23,23,AF/IN,,,1516,BF/IN,,,1506
100136896,10007842,10009055,42,42,AF/IN,,,1600,BF/IN,,,1649
100136905,10007850,10011954,46,46,AF/IN,,,1684,BF/IN,,,1734
100136914,10007854,10011681,53,53,AF/IN,,,1574,BF/IN,,,1625
100136917,10007856,10010687,32,32,AF/IN,,,1697,BF/IN,,,1759
100136932,10007858,10011517,35,35,AF/IN,,,1666,BF/IN,,,1727
100136953,10007859,10012353,56,56,AF/IN,,,1640,BF/IN,,,1709
100136954,10007859,10012696,48,48,AF/IN,,,1640,BF/IN,,,1712
100136959,10007859,10013308,41,41,AF/IN,,,1650,BF/IN,,,1702
100136960,10007860,10009053,59,59,AF/IN,,,1623,BF/IN,,,1660
100136979,10007863,10011856,55,55,AF/IN,,,1490,BF/IN,,,1543
100136994,10007865,10009389,21,21,AF/IN,,,1612,BF/IN,,,1645
100137000,10007866,10009018,23,23,AF/IN,,,1490,BF/IN,,,1566
100137018,10007868,10009924,15,15,AF/IN,,,1568,BF/IN,,,1598
100137021,10007868,10010332,19,19,AF/IN,,,1573,BF/IN,,,1625
100137022,10007868,10010333,23,23,AF/IN,,,1576,BF/IN,,,1610
100137033,10007871,10012271,16,16,AF/IN,,,1586,BF/IN,,,1649
100137044,10007873,10008785,16,16,AF/IN,,,1589,BF/IN,,,1610
100137065,10007876,10011913,16,16,AF/IN,,,1623,BF/IN,,,1678
100137070,10007877,10011549,38,38,AF/IN,,,1473,BF/IN,,,1513
100137083,10007879,10009420,73,73,AF/IN,,,1620,BF/IN,,,1691
100137084,10007879,10010811,19,19,AF/IN,,,1620,BF/IN,,,1688
100137102,10007880,10010892,40,40,AF/IN,,,1556,BF/IN,,,1595
100137109,10007880,10011556,67,67,AF/IN,,,1565,BF/IN,,,1592
100137110,10007880,10011571,45,45,AF/IN,,,1566,BF/IN,,,1595
100137131,10007881,10009921,37,37,AF/IN,,,1616,BF/IN,,,1628
100137138,10007881,10010895,16,16,AF/IN,,,1639,BF/IN,,,1682
100120005,10006346,10013203,28,28,AF/IN,,,1535,BF/IN,,,1580
100120010,10006347,10008713,11,11,AF/IN,,,1618,BF/IN,,,1660
100120018,10006348,10011687,15,15,AF/IN,,,1540,BF/IN,,,1580
100120031,10006350,10010251,47,47,AF/IN,,,1700,BF/IN,,,1735
100120047,10006353,10013086,56,56,AF/IN,,,1672,BF/IN,,,1691
100120049,10006354,10006462,73,73,AF/IN,,,1683,BF/IN,,,1759
100120070,10006357,10006363,59,59,AF/IN,,,1557,BF/IN,,,1609
100120074,10006357,10011681,37,37,AF/IN,,,1566,BF/IN,,,1609
100120075,10006357,10012219,26,26,AF/IN,,,1557,BF/IN,,,1609
100120095,10006360,10007337,40,40,AF/IN,,,1558,BF/IN,,,1611
100120096,10006360,10007710,11,11,AF/IN,,,1558,BF/IN,,,1578
100120109,10006360,10011686,18,18,AF/IN,,,1558,BF/IN,,,1618
100120114,10006361,10009358,33,33,AF/IN,,,1480,BF/IN,,,1547
100120135,10006364,10007881,30,30,AF/IN,,,1641,BF/IN,,,1682
100120137,10006364,10008309,40,40,AF/IN,,,1641,BF/IN,,,1674
100120140,10006364,10009828,27,27,AF/IN,,,1688,BF/IN,,,1724
100120159,10006366,10011667,16,16,AF/IN,,,1575,BF/IN,,,1615
100120163,10006366,10013080,20,20,AF/IN,,,1569,BF/IN,,,1610
