SDFB Relationship ID,Person 1 ID,Person 2 ID,Original Confidence,Maximum Confidence,Start Year Type,Start Day,Start Month,Start Year,End Year Type,End Month,End Day,End Year
100088700,10004303,10004792,37,37,AF/IN,,,1512,BF/IN,,,1580
100088704,10004303,10005213,11,11,AF/IN,,,1547,BF/IN,,,1580
100088708,10004303,10005870,20,20,AF/IN,,,1532,BF/IN,,,1580
100088711,10004303,10006278,38,38,AF/IN,,,1538,BF/IN,,,1572
100088712,10004303,10006279,37,37,AF/IN,,,1561,BF/IN,,,1580
100088715,10004303,10007527,50,50,AF/IN,,,1545,BF/IN,,,1580
100088717,10004303,10007672,62,62,AF/IN,,,1533,BF/IN,,,1580
100088720,10004303,10007989,30,30,AF/IN,,,1515,BF/IN,,,1555
100088723,10004303,10008478,18,18,AF/IN,,,1512,BF/IN,,,1552
100088724,10004303,10009143,18,18,AF/IN,,,1527,BF/IN,,,1571
100088730,10004303,10010057,34,34,AF/IN,,,1533,BF/IN,,,1580
100088734,10004303,10010780,14,14,AF/IN,,,1512,BF/IN,,,1580
100088737,10004303,10010937,19,19,AF/IN,,,1564,BF/IN,,,1580
100088741,10004303,10011708,43,43,AF/IN,,,1538,BF/IN,,,1580
100088744,10004303,10011900,16,16,AF/IN,,,1512,BF/IN,,,1558
100088747,10004303,10012117,69,69,AF/IN,,,1533,BF/IN,,,1580
100088751,10004303,10012199,53,53,AF/IN,,,1545,BF/IN,,,1580
100088752,10004303,10012746,20,20,AF/IN,,,1512,BF/IN,,,1568
100088755,10004303,10012999,24,24,AF/IN,,,1512,BF/IN,,,1539
100088758,10004303,10013163,60,60,AF/IN,,,1545,BF/IN,,,1580
100088762,10004304,10005212,43,43,AF/IN,,,1517,BF/IN,,,1544
100088765,10004304,10009246,43,43,AF/IN,,,1505,BF/IN,,,1544
100088769,10004304,10012118,45,45,AF/IN,,,1476,BF/IN,,,1509
100088772,10004305,10009165,49,49,AF/IN,,,1657,BF/IN,,,1680
100088775,10004306,10004397,53,53,AF/IN,,,1579,BF/IN,,,1625
100088779,10004306,10008271,20,20,AF/IN,,,1562,BF/IN,,,1639
100088782,10004306,10009575,63,63,AF/IN,,,1579,BF/IN,,,1639
100088786,10004306,10010937,23,23,AF/IN,,,1564,BF/IN,,,1616
100088789,10004306,10012634,90,90,AF/IN,,,1578,BF/IN,,,1638
100088793,10004307,10006720,19,19,AF/IN,,,1575,BF/IN,,,1637
100088794,10004307,10008213,46,46,AF/IN,,,1575,BF/IN,,,1638
100088797,10004307,10008706,67,67,AF/IN,,,1575,BF/IN,,,1601
100088802,10004307,10011609,61,61,AF/IN,,,1575,BF/IN,,,1604
