SDFB Relationship ID,Person 1 ID,Person 2 ID,Original Confidence,Maximum Confidence,Start Year Type,Start Day,Start Month,Start Year,End Year Type,End Month,End Day,End Year
100200744,10054855,10006241,100,100,AF/IN,"",,1628,BF/IN,"",,1631
100200745,10054856,10005084,100,100,AF/IN,"",,1614,BF/IN,"",,1661
100200746,10054857,10010605,100,100,IN,"",,1590,IN,"",,1609
100200747,10054857,10006266,100,100,IN,"",,1590,IN,"",,1591
100200749,10054857,10010603,60,100,BF,March,2,1612,IN,"",,1645
100200750,10054858,10010603,60,100,IN,"",,1622,IN,"",,1645
100200742,10054854,10006241,60,100,IN,"",,1628,IN,"",,1643
100200752,10054859,10011676,100,100,IN,"",,1617,BF/IN,"",,1624
100200759,10054865,10010249,100,100,CA,"",,1617,BF/IN,"",,1649
100200753,10054861,10001189,100,100,BF,"",,1627,BF/IN,"",,1666
100200754,10054861,10001332,100,100,CA,"",,1610,BF/IN,"",,1637
100200755,10054862,10001332,100,100,AF/IN,"",,1609,BF/IN,"",,1637
100200756,10054864,10009844,100,100,CA,"",,1646,AF/IN,"",,1646
100200772,10054872,10011681,100,100,AF/IN,"",,1577,BF/IN,"",,1625
100200757,10054864,10005032,100,100,AF/IN,"",,1608,BF/IN,"",,1640
100200760,10002823,10010255,60,60,AF/IN,"",,1563,BF/IN,"",,1606
100200741,10005084,10005083,60,100,IN,"",,1604,IN,"",,1651
100200748,10054857,10054794,100,100,IN,"",,1590,IN,"",,1624
100200751,10054859,10012720,100,100,BF/IN,"",,1632,BF/IN,"",,1663
100200758,10054865,10009248,100,100,BF,"",,1632,BF/IN,"",,1672
100200761,10009547,10009549,100,100,IN,"",,1640,IN,"",,1689
100200766,10054863,10013276,100,100,BF,"",,1662,BF/IN,"",,1675
100200762,10054866,10000311,100,100,AF,"",,1568,IN,"",,1580
100200770,10054870,10012119,100,100,BF/IN,"",,1532,BF/IN,"",,1542
100200764,10054861,10003500,71,71,BF,"",,1665,IN,"",,1665
100200765,10054863,10003500,76,76,BF,"",,1665,IN,"",,1665
100200768,10011091,10003508,86,86,AF/IN,"",,1554,BF/IN,"",,1586
100200763,10054866,10000316,100,100,IN,"",,1576,CA,"",,1644
100200769,10054869,10052359,100,100,AF/IN,"",,1591,IN,March,12,1597
100200771,10054872,10013271,100,100,AF/IN,"",,1577,BF/IN,"",,1619
100200773,10054874,10007298,100,100,CA,"",,1617,BF/IN,"",,1652
100200774,10001332,10054874,100,100,AF/IN,"",,1600,BF/IN,"",,1637
100200775,10054861,10054874,100,100,AF/IN,"",,1610,BF/IN,"",,1652
100200776,10054874,10054862,100,100,AF/IN,"",,1609,BF/IN,"",,1652
100200777,10054875,10001332,100,100,AF/IN,"",,1610,BF/IN,"",,1634
100200778,10054875,10054874,100,100,AF/IN,"",,1610,BF/IN,"",,1634
100200779,10054875,10054862,100,100,AF/IN,"",,1610,BF/IN,"",,1634
100200780,10054875,10054861,100,100,AF/IN,"",,1610,BF/IN,"",,1634
100200781,10054876,10054874,100,100,AF/IN,"",,1600,BF/IN,"",,1617
100200782,10054877,10011670,100,100,AF/IN,"",,1600,BF/IN,"",,1646
100200783,10009860,10007966,60,60,CA,"",,1658,BF/IN,"",,1663
100200784,10054878,10004692,100,100,CA,"",,1588,IN,"",,1606
