SDFB Group ID,Name,Description,Start Year Type,Start Year,End Year Type,End Year,Members List (Name with SDFB Person ID)
80,Mathematicians,People associated with the mathematics or self-identifying as mathematicians and lovers of mathematics,BF,1400,AF,1800,"[""Isaac Newton (1642)"", ""Robert Recorde (1512)"", ""Isaac Barrow (1630)"", ""Thomas Oliver (1500)""]"
77,Regicides,"those involved in the death of Charles I; a broader class than the more specific group, 'Signatories of the death warrant of Charles I'",IN,1649,IN,1649,"[""John Milton (1608)"", ""Henry Marten (1601)"", ""Isaac Penington (1584)"", ""Thomas Harrison (1616)"", ""Edmund Ludlow (1616)"", ""Gregory Clements (1594)"", ""Henry Ireton (1611)"", ""John Dixwell (1607)"", ""Robert Lilburne (1614)"", ""William Goffe (1569)""]"
71,Merchant Taylors Company,Merchant Taylors Company,BF,1400,AF,1800,"[""William Fitzwilliam (1460)""]"
4,Participants in the Pilgrimage of Grace,Participants in the Pilgrimage of Grace,IN,1536,IN,1537,"[""Robert Aske (1500)""]"
34,Sealed Knot,Sealed Knot,IN,1653,IN,1659,"[""John Belasyse (1615)""]"
43,Nonjuring bishops,Nonjuring bishops,IN,1689,IN,1710,"[""William Sancroft (1617)""]"
24,Providence Island Company,Providence Island Company,IN,1630,IN,1641,"[""Robert Greville (1607)"", ""John Pym (1584)"", ""Robert Rich (1587)"", ""Oliver St John (1598)"", ""Nathaniel Rich (1585)"", ""William Fiennes (1582)"", ""Benjamin Rudyerd (1572)"", ""Thomas Barrington (1585)"", ""Richard Knightley (1593)""]"
56,Quakers,Quakers,CA,1650,AF,1800,"[""Sarah Cheevers (1608)"", ""William Penn (1644)"", ""Isaac Penington (1584)"", ""Francis Howgill (1618)"", ""Barbara Blaugdone (1609)"", ""Mary Prince (1569)"", ""James Nayler (1618)"", ""Dorcas Erbery (1656)"", ""Henry Fell (1630)"", ""Thomas Lloyd (1640)"", ""Benjamin Furly (1636)"", ""George Fox (1624)"", ""Anthony Sharp (1643)""]"
59,Royalists,Royalists,CA,1641,CA,1678,"[""Rupert  (1619)"", ""Elizabeth Stuart (1596)"", ""Charles Stuart (1600)"", ""Charles Stuart (1630)""]"
86,Company of Mineral and Battery Works,Joint stock corporation dedicated primarily to the brass and iron trades,BF/IN,1568,AF/IN,1700,"[""Nicholas Bacon (1510)"", ""Julius Caesar (1558)"", ""Thomas Caesar (1561)"", ""Christopher Schütz (1521)"", ""William Humfrey (1515)"", ""Francis Bacon (1561)"", ""Richard Hanbury (1535)""]"
