SDFB Group ID,Name,Description,Start Year Type,Start Year,End Year Type,End Year,Members List (Name with SDFB Person ID)
81,Virginia Company,a joint stock company chartered to establish colonies in North America,IN,1606,IN,1624,"[""Thomas West (1577)"", ""Robert Mansell (1570)"", ""Nicholas Ferrar (1593)"", ""Thomas Crewe (1566)"", ""John Danvers (1584)"", ""Francis Popham (1572)"", ""John Dodderidge (1555)"", ""Thomas Roe (1581)"", ""Edward Conway (1564)"", ""Edward Maria Wingfield (1550)"", ""George Somers (1554)"", ""William Parker (1508)"", ""William Herbert (1580)"", ""Bartholomew Gosnold (1497)"", ""Richard Hakluyt (1552)"", ""James Bagg (1592)"", ""Edward Cecil (1572)"", ""Robert Rich (1559)"", ""John Ferrar (1588)"", ""Edward Conway (1594)"", ""John Popham (1531)"", ""Thomas Gates (1512)"", ""Thomas Hobbes (1588)"", ""Francis Bacon (1561)"", ""Edwin Sandys (1561)"", ""William Romney (1501)"", ""John Eldred (1552)"", ""Ferdinando Gorges (1568)"", ""Matthew Sutcliffe (1549)"", ""John Smith (1580)"", ""Horace Vere (1565)"", ""William Cavendish (1590)"", ""Thomas Smythe (1558)"", ""Arthur Wodenoth (1594)"", ""Maurice Abbot (1565)"", ""Francis Barnham (1576)"", ""Henry Briggs (1561)"", ""John Pory (1572)""]"
89,Alchemists,People interested in alchemy,CA,1500,CA,1700,"[""St George Ashe (1658)""]"
93,Jesuits,member of the Society of Jesus,CA,1500,CA,1700,"[""Robert Southwell (1561)"", ""Andrew White (1579)"", ""Jasper Heywood (1535)"", ""Alexander Briant (1556)"", ""Thomas Darbyshire (1518)"", ""Simon Belost (1507)"", ""Ralph Emerson (1553)"", ""Nicholas Owen (1562)""]"
95,Fraternity of Sireniacal Gentlemen,"A drinking society of some of the Elizabethan era's leading literary figures. They met on the first Friday of every month at the Mermaid, Three Cranes, or Mitre taverns in London.",CA,1603,AF,1611,"[""Francis Beaumont (1584)"", ""John Donne (1572)"", ""Thomas Coryate (1577)"", ""John Fletcher (1579)""]"
106,Earl of Essex's army,The parliamentarian army commanded by the third Earl of Essex in the first English Civil War,IN,1642,IN,1645,"[""Robert Devereux (1591)"", ""Nehemiah Wharton (1642)"", ""David Avys (1642)"", ""Thomas Tyrrell (1593)"", ""William Fairfax (1610)"", ""William Constable (1590)"", ""John Meyrick (1600)"", ""John Robartes (1606)"", ""Oliver St John (1603)"", ""William Balfour (1550)"", ""Samuel Luke (1603)"", ""Philip Skippon (1550)"", ""Philip Stapleton (1603)"", ""Denzil Holles (1598)"", ""John Hampden (1595)"", ""Arthur Hesilrige (1601)"", ""William Waller (1598)"", ""Nathaniel Fiennes (1607)"", ""Richard Ingoldsby (1617)"", ""William Barriffe (1599)"", ""Robert Greville (1607)"", ""William Russell (1616)"", ""John Fiennes (1600)"", ""John Middleton (1608)"", ""Robert Pye (1622)"", ""William Rainborowe (1639)"", ""Adrian Scrope (1601)"", ""John Urry (1540)"", ""Valentine Walton (1593)"", ""Henry Grey (1599)"", ""Edmund Ludlow (1616)"", ""Oliver Cromwell (1599)"", ""Basil Feilding (1608)"", ""Philip Wharton (1613)"", ""Charles Fleetwood (1618)"", ""Henry Ireton (1611)"", ""William Fiennes (1582)"", ""John Disbrowe (1608)""]"
99,Privy Councillors,Members of formal body of advisors to the sovereign,CA,1500,CA,1700,[]
100,Members of the Royal Household,Members of the Royal Household,CA,1500,CA,1700,[]
101,Dublin Philosophical Society,"A society ""agreeable to the design of the Royal Society in London"" which grew out of a group headed by William Molyneux who were collecting materials for the projected Pitt atlas of the British Isles. Formed in January 1684, hiatus 1688, revived 1694 with meetings ceasing by 1698. The Society was refounded by Samuel Molyneux in 1707, but lasted for only one year. ",IN,1684,IN,1708,"[""William Molyneux (1656)""]"
98,The King's Musik,"Members of the British Monarch's Music, musicians employed at the English Court. (Members of court chapels were organized separately, though some members of the King's Musik were also  chapel members.)",BF,1469,AF,1901,"[""Nicholas Lanier (1588)"", ""William Lawes (1602)"", ""Henry Purcell (1659)"", ""John Blow (1648)"", ""Alfonso Ferrabosco (1575)"", ""John Dowland (1563)"", ""Henry Lawes (1596)"", ""Matthew Locke (1622)"", ""Orlando Gibbons (1583)"", ""John Adson (1587)"", ""John Banister (1624)"", ""Jeronimo Bassano (1559)"", ""William Child (1606)"", ""John Gamble (1610)"", ""Pelham Humfrey (1647)"", ""Giles Tomkins (1587)"", ""John Wilson (1595)"", ""John Eccles (1668)"", ""Caesar Galliardello (1568)"", ""John Goodgroome (1623)"", ""Louis Grabu (1665)"", ""John Hingeston (1606)""]"
102,Eton College,one-time students of Eton College,CA,1500,CA,1700,[]
104,Midwives,Named midwives,CA,1500,CA,1700,"[""Jane Crome (1690)"", ""Anne Slap (1675)"", ""Frances Grant (1674)"", ""Elizabeth Thompson (1655)"", ""Sarah Stone (1695)"", ""Ann Rigg (1655)"", ""Jane Rimer (1642)"", ""Mary Lewis (1645)"", ""Jane Sharp (1641)"", ""Elizabeth Cellier (1668)""]"
103,Elizabethan Playwrights,Elizabethan playwrights,IN,1558,IN,1603,"[""Benjamin Jonson (1572)"", ""Christopher Marlowe (1564)"", ""William Shakespeare (1564)"", ""Anthony Munday (1560)""]"
105,Sidney Circle,Family members or close acquaintances of the extended Sidney circle,CA,1580,AF,1640,"[""Barbara Gamage (1562)"", ""Mary Herbert (1561)"", ""Fulke Greville (1554)"", ""Mary Wroth (1587)"", ""Philip Sidney (1554)""]"
108,Trustees of Blackfriars Playhouse,Legal trustees of the (Second) Blackfriars Theatre,CA,1596,IN,1655,"[""John Milton (1562)""]"
109,Recipe Contributors for Sir Kenelm Digby's Closet Opened,Named contributors of recipes to the cookbook Sir Kenelm Digby's Closet Opened 1669. ,BF,1669,IN,1669,"[""Thomas Gower (1604)"", ""Jerome Weston (1605)"", ""Paul Neile (1613)"", ""Henry Jermyn (1605)"", ""George Digby (1612)"", ""Francis Glisson (1599)"", ""Kenelm Digby (1603)"", ""Baynham Throckmorton (1606)"", ""William Harvey (1578)"", ""Charles de Marguetel de Saint-Denis de Saint-Evremond (1614)"", ""John Arundell (1576)"", ""Anne Boteler (1610)"", ""John Colladon (1608)"", ""Frederick Cornwallis (1610)""]"
2,Participants in the Field of Cloth of Gold,Participants in the Field of Cloth of Gold,IN,1520,IN,1520,"[""Ralph Egerton (1476)"", ""Mary Scrope (1500)"", ""Margaret Pennington (1442)""]"
19,Patrons of the Mermaid tavern,"Patrons of the Mermaid tavern;  a broader category than the separate group, ""Fraternity of Sireniacal gentlemen""",CA,1611,CA,1611,"[""Benjamin Jonson (1572)"", ""Francis Beaumont (1584)""]"
31,Putney debaters,Putney debaters,IN,1647,IN,1647,"[""Robert Tichborne (1610)"", ""Maximilian Petty (1617)""]"
111,Calvinists,A major branch of Protestantism that follows the theological tradition and forms of Christian practice of John Calvin ,CA,1519,AF,1700,[]
65,Royal Society,society for the encouragement of philosophical studies,IN,1662,AF,1800,"[""William Brouncker (1620)"", ""John Hoskins (1634)"", ""Cyril Wyche (1632)"", ""John Vaughan (1639)"", ""Robert Southwell (1635)"", ""Charles Montagu (1661)"", ""Hans Sloane (1660)"", ""Martin Folkes (1690)"", ""John Wilkins (1614)"", ""Joseph Williamson (1633)"", ""Christopher Wren (1589)"", ""Samuel Pepys (1633)"", ""Thomas Herbert (1656)"", ""Isaac Newton (1642)"", ""Henry Oldenburg (1619)"", ""Robert Hooke (1635)"", ""John Pell (1611)"", ""William Cavendish (1617)"", ""Robert Molesworth (1656)"", ""Gregorio Leti (1630)"", ""Bernard Gascoigne (1614)"", ""Robert Moray (1608)"", ""George Ent (1604)"", ""Robert Boyle (1627)"", ""Thomas Povey (1613)"", ""Alexander Bruce (1629)"", ""Francis Glisson (1599)"", ""Paul Neile (1613)"", ""William Petty (1623)"", ""Daniel Colwall (1580)"", ""Walter Charleton (1620)"", ""Christopher Merret (1614)"", ""Jonathan Goddard (1617)"", ""Kenelm Digby (1603)"", ""Thomas Henshaw (1618)"", ""John Wallis (1616)"", ""Abraham Hill (1635)"", ""William Ball (1631)"", ""Lawrence Rooke (1619)"", ""John Evelyn (1620)"", ""Elias Ashmole (1617)"", ""Daniel Whistler (1618)"", ""Christopher Wren (1632)"", ""Seth Ward (1617)"", ""Paolo Antonio Rolli (1687)"", ""Carlo Ubaldini (1635)"", ""Antonio Conti (1677)"", ""Antonio Cocchi (1695)"", ""John Arbuthnot (1667)""]"
113,Opera of the Nobility,"The Opera of the Nobility was an opera company set up and funded in 1733 by a group of nobles (under Frederick, Prince of Wales) opposed to George II of England, in order to rival the Royal Academy of Music company under Handel, who was backed by George II and his queen). ",AF,1700,IN,1737,"[""Carlo Maria Michelangelo Nicola  Broschi  (1700)"", ""Nicola Porpora (1686)"", ""Owen Swiny (1676)"", ""Francesco Bernardi (1686)"", ""Francesca Cuzzoni (1696)"", ""Antonio Montagnana (1700)"", ""Francesca Bertolli (1700)"", ""John Rich (1692)"", ""Frederick Lewis (1700)"", ""Pescetti Giovanni Battista  (1700)"", ""Johann Adolf Hasse (1699)"", ""Paolo Antonio Rolli (1687)"", ""John West (1700)"", ""John Manners (1696)"", ""William Clavering-Cowper (1700)"", ""Charles Cadogan (1684)"", ""John Russell (1700)"", ""John Dalrymple (1673)"", ""James Hamilton (1694)"", ""Henry Furnese (1600)"", ""Michael Newton (1691)"", ""Thomas Coke (1697)"", ""Charles Lennox (1700)"", ""Allen Bathurst (1684)"", ""John Buckworth (1700)"", ""Richard Boyle (1694)""]"
114,Postmasters,Administrators placed in charge of the Royal Post or associated systems,AF/IN,1510,AF,1700,"[""Thomas Witherings (1541)"", ""Brian Tuke (1435)"", ""Thomas Randolph (1525)"", ""William Brewster (1566)"", ""Roger Whitley (1618)"", ""Henry Bennet (1618)"", ""Henry Robinson (1605)"", ""Endymion Porter (1587)"", ""William Seton (1673)"", ""Edmond Prideaux (1601)"", ""Alexandrine von Taxis (1589)"", ""John Thurloe (1616)"", ""John Wildman (1622)"", ""John Manley (1622)"", ""Daniel O'Neill (1612)"", ""William Frizell (1631)"", ""John Stanhope (1540)"", ""William Paget (1505)"", ""Philip Burlamachi (1534)""]"
62,Tories,Tories,CA,1678,AF,1800,"[""Simon Degge (1612)"", ""Henry Hyde (1672)"", ""George Henry Lee (1690)"", ""Thomas Wentworth (1672)"", ""Allen Bathurst (1684)""]"
61,Whigs,Whigs,CA,1678,AF,1800,"[""Anthony Ashley Cooper (1621)"", ""James Berkeley (1680)"", ""Henry Grey (1671)"", ""Thomas Pelham-Holles (1693)"", ""Charles FitzRoy (1683)"", ""Henry Bentinck (1682)"", ""James Graham (1682)"", ""Charles Montagu (1662)"", ""Richard Boyle (1694)"", ""Henry Clinton (1684)"", ""William Clavering-Cowper (1700)"", ""Charles Cadogan (1684)"", ""Thomas Coke (1697)"", ""Charles Lennox (1700)"", ""James Hamilton (1694)"", ""James Brydges (1674)""]"
112,Royal Academy of Music I and II,"The Royal Academy of Music was a company founded in February 1719, during George Frideric Handel's residence at Cannons, by a group of aristocrats to secure themselves a constant supply of baroque (Italian) opera. The first Academy lasted until 1728, but Handel immediately started a second Academy. ",AF,1700,IN,1734,"[""George Frideric Handel (1685)"", ""Nicola Francesco Haym (1678)"", ""Attilio  Malachia Ariosti  (1666)"", ""Antonio Montagnana (1700)"", ""Francesca Bertolli (1700)"", ""Francesca Cuzzoni (1696)"", ""Gaetano Berenstadt (1687)"", ""Giuseppe Maria  Boschi (1698)"", ""Henry Bentinck (1682)"", ""Charles Montagu (1662)"", ""Paolo Antonio Rolli (1687)"", ""Margherita Durastanti  (1700)"", ""James Brydges (1674)"", ""Pietro Castrucci (1679)"", ""Francesco Bernardi (1686)"", ""John Arbuthnot (1667)"", ""Charles Jennens (1700)"", ""George I (1660)"", ""Richard Boyle (1694)"", ""Henry Grey (1671)"", ""Charles FitzRoy (1683)"", ""James Graham (1682)"", ""Charles Spencer (1675)"", ""Henry Hyde (1672)"", ""George Henry Lee (1690)"", ""Henry Clinton (1684)"", ""John Vanbrugh (1664)"", ""Thomas Pelham-Holles (1693)"", ""Matteo Berselli (1650)"", ""Maria Maddelena Salvai (1700)"", ""Anastasia Robinson (1645)"", ""Johann Jakob Heidegger (1666)"", ""Giuseppe Riva (1685)"", ""Anthony L'Abbe (1666)"", ""Giovanni Porta (1675)"", ""Roberto Clerici (1700)"", ""Thomas Roseingrave (1690)"", ""Alexander Gordon (1692)"", ""Owen Swiny (1676)"", ""Faustina Bordoni (1697)"", ""Anna Maria Strada (1700)"", ""Giovanni Bononcini (1670)"", ""James Bruce (1660)"", ""Benjamin Mildmay (1672)"", ""Francis Whitworth  (1700)"", ""Filippo Amadei (1690)"", ""Robert Benson (1676)"", ""Charles Douglas (1698)"", ""John Dalrymple (1673)"", ""James Waldegrave (1684)"", ""Walter Chetwynd (1678)"", ""William Pulteney (1684)"", ""George Wade (1673)"", ""James O'Hara (1681)"", ""Thomas Coke (1697)"", ""Carestini Giovanni (1700)"", ""James Berkeley (1680)"", ""Thomas Wentworth (1672)"", ""John Manners (1696)"", ""Charles Cadogan (1684)"", ""John Buckworth (1700)"", ""Michael Newton (1691)"", ""Charles Lennox (1700)"", ""James Hamilton (1694)"", ""Henry Furnese (1600)"", ""Frederick Lewis (1700)""]"
115,Members of the College of Physicians,"The College of Physicians was founded to regulate medical practice in early modern London. (It came to be known as the 'Royal College of Physicians' later in the 17th century.) The first president, Linacre, wanted to found an academic body for physicians rather than a trade guild of the kind which regulated surgeons and apothecaries. A degree was usually required to gain a license. Candidates took an oral examination to demonstrate that they were classically educated and had sufficient medical knowledge.",IN,1518,CA,1700,"[""Helkiah Crooke (1576)"", ""William Paddy (1554)""]"
72,Stationers Company,Stationers Company,IN,1403,AF,1800,"[""William Middleton (1437)"", ""Nathaniel Butter (1583)"", ""John Wolfe (1548)"", ""Robert Waldegrave (1554)"", ""Richard Field (1561)"", ""Gilbert Mabbott (1622)"", ""Thomas Vautrollier (1477)"", ""William Seres (1468)"", ""John Rushworth (1612)"", ""Thomas Adams (1566)"", ""Christopher Barker (1528)"", ""Edward Aggas (1549)"", ""Edward Allde (1555)"", ""John Allde (1531)"", ""William Aspley (1573)"", ""John Awdely (1532)"", ""Edward Blount (1562)"", ""Humphrey Blunden (1609)"", ""Nicholas Bourne (1584)"", ""William Bowyer (1663)"", ""Samuel Browne (1611)"", ""John Cawood (1513)"", ""Thomas  Man (1567)"", ""Joseph Downing (1676)""]"
57,Catholics,Catholics,BF,1400,AF,1800,"[""Mary Tudor (1516)"", ""Christopher Perkins (1542)"", ""Henry Tudor (1491)"", ""John Proctor (1521)"", ""Simon Belost (1507)"", ""Ralph Emerson (1553)"", ""Thomas Darbyshire (1518)"", ""Dowsabell Grimston (1597)"", ""John Taylor (1597)"", ""Stephen Taylor (1597)""]"
