SDFB Relationship ID,Person 1 ID,Person 2 ID,Original Confidence,Maximum Confidence,Start Year Type,Start Day,Start Month,Start Year,End Year Type,End Month,End Day,End Year
100036843,10001794,10010734,12,12,AF/IN,,,1572,BF/IN,,,1617
100036846,10001794,10011163,47,47,AF/IN,,,1572,BF/IN,,,1635
100036849,10001794,10011681,53,53,AF/IN,,,1572,BF/IN,,,1625
100036851,10001794,10012493,89,89,AF/IN,,,1577,BF/IN,,,1635
100036854,10001795,10003279,51,51,AF/IN,,,1604,BF/IN,,,1658
100036857,10001795,10006076,47,47,AF/IN,,,1604,BF/IN,,,1658
100036860,10001795,10008222,38,38,AF/IN,,,1604,BF/IN,,,1658
100036863,10001795,10011582,25,25,AF/IN,,,1650,BF/IN,,,1658
100036865,10001795,10012693,68,68,AF/IN,,,1604,BF/IN,,,1641
100036868,10001796,10011270,28,28,AF/IN,,,1645,BF/IN,,,1646
100036871,10001797,10002030,57,57,AF/IN,,,1650,BF/IN,,,1663
100036874,10001797,10012890,63,63,AF/IN,,,1650,BF/IN,,,1690
100036876,10001798,10001937,45,45,AF/IN,,,1595,BF/IN,,,1644
100036879,10001798,10004436,13,13,AF/IN,,,1565,BF/IN,,,1634
100036882,10001798,10006477,45,45,AF/IN,,,1571,BF/IN,,,1642
100020003,10000960,10002546,23,23,AF/IN,,,1599,BF/IN,,,1614
100020004,10000960,10002920,16,16,AF/IN,,,1599,BF/IN,,,1614
100020006,10000960,10005483,15,15,AF/IN,,,1599,BF/IN,,,1614
100020008,10000960,10006431,20,20,AF/IN,,,1599,BF/IN,,,1606
100020010,10000960,10006436,47,47,AF/IN,,,1599,BF/IN,,,1614
100020011,10000960,10006923,19,19,AF/IN,,,1599,BF/IN,,,1614
100020013,10000960,10007403,19,19,AF/IN,,,1599,BF/IN,,,1614
100020015,10000960,10008488,38,38,AF/IN,,,1599,BF/IN,,,1614
100020016,10000960,10008522,50,50,AF/IN,,,1599,BF/IN,,,1602
100020018,10000960,10009710,24,24,AF/IN,,,1599,BF/IN,,,1614
100020019,10000960,10010130,60,60,AF/IN,,,1599,BF/IN,,,1614
100020024,10000960,10012967,37,37,AF/IN,,,1599,BF/IN,,,1614
100020025,10000960,10013232,24,24,AF/IN,,,1599,BF/IN,,,1614
100020026,10000961,10003336,46,46,AF/IN,,,1670,BF/IN,,,1689
100020029,10000961,10007186,52,52,AF/IN,,,1684,BF/IN,,,1750
100020030,10000961,10008570,37,37,AF/IN,,,1688,BF/IN,,,1750
100020032,10000961,10010851,24,24,AF/IN,,,1693,BF/IN,,,1750
100020033,10000961,10011217,15,15,AF/IN,,,1670,BF/IN,,,1727
100020036,10000961,10012056,25,25,AF/IN,,,1670,BF/IN,,,1716
100020037,10000961,10012428,53,53,AF/IN,,,1684,BF/IN,,,1750
100020038,10000961,10013009,52,52,AF/IN,,,1670,BF/IN,,,1703
100020040,10000962,10004527,40,40,AF/IN,,,1693,BF/IN,,,1707
100020041,10000962,10005204,19,19,AF/IN,,,1641,BF/IN,,,1707
100020044,10000962,10011065,28,28,AF/IN,,,1658,BF/IN,,,1701
100020045,10000962,10011066,15,15,AF/IN,,,1657,BF/IN,,,1707
100020046,10000962,10011995,26,26,AF/IN,,,1662,BF/IN,,,1707
100020048,10000963,10001067,54,54,AF/IN,,,1546,BF/IN,,,1616
100020050,10000963,10002249,54,54,AF/IN,,,1563,BF/IN,,,1612
100020052,10000963,10002253,15,15,AF/IN,,,1591,BF/IN,,,1617
100020053,10000963,10002279,34,34,AF/IN,,,1553,BF/IN,,,1617
100020055,10000963,10002889,59,59,AF/IN,,,1545,BF/IN,,,1615
100020057,10000963,10003360,16,16,AF/IN,,,1605,BF/IN,,,1617
100020058,10000963,10004613,11,11,AF/IN,,,1607,BF/IN,,,1617
100020060,10000963,10009712,45,45,AF/IN,,,1573,BF/IN,,,1617
100020061,10000963,10011681,12,12,AF/IN,,,1566,BF/IN,,,1617
100020064,10000963,10012775,13,13,AF/IN,,,1562,BF/IN,,,1617
